,0
0,JAMMU&KASHMIR
1,Badgam
2,Leh(Ladakh)
3,Baramula
4,Bandipore
5,Shupiyan
6,HIMACHALPRADESH
7,Lahul&Spiti
8,PUNJAB
9,Firozpur
10,Muktsar
11,SahibzadaAjitSinghNagar
12,UTTARAKHAND
13,Garhwal
14,"Almora
"
15,Hardwar
16,HARYANA
17,Gurgaon
18,Mewat
19,NCTOFDELHI
20,NorthEast
21,Central
22,West
23,SouthWest
24,South
25,RAJASTHAN
26,Jhunjhunun
27,Dhaulpur
28,Jalor
29,Chittaurgarh
30,UTTARPRADESH
31,JyotibaPhuleNagar
32,MahamayaNagar
33,Kheri
34,Allahabad
35,Faizabad
36,Mahrajganj
37,SantRavidasNagar(Bhadohi)
38,KanshiramNagar
39,BIHAR
40,PashchimChamparan
41,PurbaChamparan
42,Kaimur(Bhabua)
43,SIKKIM
44,NorthDistrict
45,WestDistrict
46,SouthDistrict
47,EastDistrict
48,ARUNACHALPRADESH
49,DibangValley
50,NAGALAND
51,MANIPUR
52,MIZORAM
53,TRIPURA
54,MEGHALAYA
55,JaintiaHills
56,ASSAM
57,WESTBENGAL
58,Darjiling
59,KochBihar
60,Maldah
61,Barddhaman
62,NorthTwentyFourParganas
63,Hugli
64,Puruliya
65,Haora
66,SouthTwentyFourParganas
67,JHARKHAND
68,Kodarma
69,PurbiSinghbhum
70,PashchimiSinghbhum
71,ODISHA
72,Debagarh
73,Baleshwar
74,Jagatsinghapur
75,Jajapur
76,Anugul
77,Baudh
78,CHHATTISGARH
79,Janjgir-Champa
80,MADHYAPRADESH
81,Khargone(WestNimar)
82,Narsimhapur
83,Khandwa(EastNimar)
84,GUJARAT
85,Kachchh
86,Mahesana
87,Ahmadabad
88,PanchMahals
89,Dohad
90,TheDangs
91,DAMAN&DIU
92,DADRA&NAGARHAVELI
93,Dadra&NagarHaveli
94,MAHARASHTRA
95,Buldana
96,Gondiya
97,MumbaiSuburban
98,Ahmadnagar
99,Bid
100,ANDHRAPRADESH
101,Mahbubnagar
102,Warangal
103,SriPottiSriramuluNellore
104,Y.S.R.
105,KARNATAKA
106,Belgaum
107,Bagalkot
108,Bellary
109,Shimoga
110,Chikmagalur
111,Tumkur
112,Bangalore
113,Mysore
114,Chamarajanagar
115,Gulbarga
116,BangaloreRural
117,GOA
118,LAKSHADWEEP
119,Lakshadweep
120,KERALA
121,TAMILNADU
122,TheNilgiris
123,Kanniyakumari
124,Yanam
125,ANDAMAN&NICOBARISLANDS
126,Nicobars
127,North&MiddleAndaman
128,SouthAndaman
