stateid,monthid,dose 1,dose 2
AN,10,3040,0
AN,11,8409,2768
AN,12,38205,3173
AN,13,50036,8867
AN,14,16942,564
AN,15,60381,54284
AN,16,55696,27631
AP,10,313509,6234
AP,11,535907,231135
AP,12,3124117,347854
AP,13,1501011,1511119
AP,14,4208907,539594
AP,15,4507661,1213042
AP,16,4325029,2636234
AR,10,11829,382
AR,11,30963,11025
AR,12,69989,19395
AR,13,75085,39266
AR,14,95240,1374
AR,15,245088,38776
AR,16,77771,60924
AS,10,122161,2016
AS,11,348789,81914
AS,12,805990,193006
AS,13,1301599,450517
AS,14,1358147,226842
AS,15,3105574,477937
AS,16,4387793,1010668
BR,10,452936,55
BR,11,623967,293370
BR,12,3531752,323566
BR,13,2429528,1058089
BR,14,3170701,247486
BR,15,6268222,902798
BR,16,8690272,2033903
CH,10,6712,117
CH,11,31697,5656
CH,12,70394,15804
CH,13,97769,50550
CH,14,129710,3766
CH,15,184220,50248
CH,16,213077,118210
CT,10,249309,926
CT,11,458256,191380
CT,12,3479005,255486
CT,13,858303,602905
CT,14,128918,113433
CT,15,2570315,722577
CT,16,1639405,889174
DL,10,178176,1967
DL,11,320119,118839
DL,12,1472979,284907
DL,13,1410375,603230
DL,14,1308922,455142
DL,15,2311893,687169
DL,16,1248538,1113747
DN,10,4060,71
DN,11,10272,3171
DN,12,53527,6759
DN,13,20697,14769
DN,14,157228,1645
DN,15,247439,37276
DN,16,105157,26730
GA,10,13277,309
GA,11,42529,11400
GA,12,111637,23973
GA,13,165547,56849
GA,14,226676,5992
GA,15,395037,91750
GA,16,158112,139636
GJ,10,606685,3
GJ,11,1017857,421454
GJ,12,5378257,623265
GJ,13,2207805,2156707
GJ,14,4135551,689169
GJ,15,4743236,1582542
GJ,16,6490895,2634670
HP,10,76743,449
HP,11,90811,62871
HP,12,872123,54881
HP,13,727578,305945
HP,14,411546,11840
HP,15,1313152,519336
HP,16,1458836,558373
HR,10,177689,590
HR,11,194033,102275
HR,12,2172518,157879
HR,13,1387228,641485
HR,14,1865921,175245
HR,15,2526546,785815
HR,16,2168171,1328216
JH,10,203227,2197
JH,11,261702,143521
JH,12,1814914,170157
JH,13,545472,338864
JH,14,1558383,160409
JH,15,2200931,569294
JH,16,2213292,750489
JK,10,118293,722
JK,11,244936,55828
JK,12,882611,150249
JK,13,1055574,320831
JK,14,842720,58047
JK,15,1267654,290166
JK,16,1134439,697589
KA,10,415519,15
KA,11,546542,314185
KA,12,4837787,278799
KA,13,2850179,1736040
KA,14,5107655,620620
KA,15,6955881,1855296
KA,16,4955350,2807451
KL,10,340407,45
KL,11,705238,280363
KL,12,3684528,276905
KL,13,1560181,1412145
KL,14,2863599,298606
KL,15,2633925,2150319
KL,16,5493813,2239430
LA,10,2831,71
LA,11,28476,2835
LA,12,35506,6186
LA,13,18875,28020
LA,14,69319,281
LA,15,29343,24324
LA,16,5185,11108
LD,10,1575,0
LD,11,1443,888
LD,12,9452,1917
LD,13,8970,3996
LD,14,19143,293
LD,15,8101,4790
LD,16,2994,5991
MH,10,653135,170
MH,11,1360020,412152
MH,12,8025758,673740
MH,13,5533002,3045161
MH,14,5454740,1104249
MH,15,8530876,3131039
MH,16,6825817,4447181
ML,10,12906,91
ML,11,44754,10887
ML,12,58768,30087
ML,13,205148,32809
ML,14,120522,855
ML,15,304421,32211
ML,16,222281,150419
MN,10,21284,169
MN,11,48543,9873
MN,12,26546,36457
MN,13,204036,23092
MN,14,171711,1975
MN,15,380325,22933
MN,16,321441,171851
MP,10,548466,3
MP,11,516063,334836
MP,12,5137730,349818
MP,13,1201423,948781
MP,14,5043112,357524
MP,15,8206172,1922389
MP,16,11011671,2180277
MZ,10,7563,75
MZ,11,26428,7166
MZ,12,37428,12638
MZ,13,100721,17998
MZ,14,44701,1097
MZ,15,215084,39944
MZ,16,48847,77789
NL,10,9175,123
NL,11,29837,9121
NL,12,59945,19929
NL,13,82789,22514
NL,14,115251,737
NL,15,231579,52282
NL,16,110803,63234
OR,10,360676,3
OR,11,447210,270029
OR,12,3183856,264802
OR,13,1237281,861386
OR,14,2177247,257686
OR,15,3588275,1167221
OR,16,4015112,1653797
PB,10,91988,62
PB,11,204795,64839
PB,12,1457522,196110
PB,13,1737539,473026
PB,14,949702,119870
PB,15,1916051,635360
PB,16,2066095,1061291
PY,10,5243,68
PY,11,18207,3550
PY,12,0,62097
PY,13,170556,1553
PY,14,99154,3995
PY,15,226178,68514
PY,16,109279,35545
RJ,10,540621,0
RJ,11,1689120,415828
RJ,12,6267972,743607
RJ,13,2720500,1619871
RJ,14,4197199,328125
RJ,15,5439624,1660227
RJ,16,5930127,3623881
SK,10,8042,0
SK,11,31074,7585
SK,12,85416,9660
SK,13,41587,42338
SK,14,60281,253
SK,15,224637,65751
SK,16,49792,32455
TG,10,210201,2337
TG,11,254667,205766
TG,12,1664622,115018
TG,13,2320539,740403
TG,14,2367600,285999
TG,15,3889567,784202
TG,16,1366493,2018389
TN,10,180613,563
TN,11,826588,109741
TN,12,2314048,317511
TN,13,1352923,1302630
TN,14,3524800,271294
TN,15,5772279,975594
TN,16,5784139,1535844
TR,10,61525,334
TR,11,71420,47242
TR,12,614049,50575
TR,13,233325,407534
TR,14,184097,11313
TR,15,944962,156028
TR,16,324319,153760
UP,10,864487,2
UP,11,1182124,621447
UP,12,6559212,800355
UP,13,2985106,1758456
UP,14,8012266,656357
UP,15,13062798,2334818
UP,16,15582272,3008708
UT,10,111576,410
UT,11,146971,85924
UT,12,970154,117498
UT,13,708635,472322
UT,14,733711,29633
UT,15,1297162,350423
UT,16,1527648,666244
WB,10,429774,564
WB,11,1307278,316253
WB,12,4591378,605155
WB,13,1384255,2245559
WB,14,4339753,345422
WB,15,3859678,2415878
WB,16,5759878,2163046
