stateid,vaccineratio
TG,3.121973108963226
DL,3.2919372915336425
JH,5.057892251556128
AP,5.114796568798822
TN,5.174560449532417
HR,5.979726255269153
PB,6.492291244368244
MH,6.530146289033437
OR,6.60186895755626
WB,6.650689851894024
KA,6.722117894820496
AS,6.84842414110572
CT,7.049148817899144
RJ,7.490171166614966
UP,7.6150537710065604
MP,7.727368042944011
BR,7.8442210522377795
GJ,8.490242688065683
KL,9.027857491328223
UT,12.731979218387655
JK,26.31155848290836
TR,29.750947993603898
GA,51.16299081640032
CH,214.97393992932862
HP,1818.6701839011155
AR,
DN,
LA,
ML,
MN,
MZ,
NL,
PY,
SK,
